"stock","name","region","scenario","source","bk_method","r_method","priorrlw","priorr","priorrup","postrlw","postr","postrup","priorklw","priork","priorkup","postklw","postk","postkup","priorbklw","priorbk","priorbkup","postbklw","postbk","postbkup","priormsylw","priormsy","priormsyup","postmsylw","postmsy","postmsyup","fmsylw","fmsy","fmsyup","bmsylw","bmsy","bmsyup","ctlast","ctavg5","ffmsylw","ffmsy","ffmsyup","bbmsylw","bbmsy","bbmsyup","PPVRr","RUr","OVLr","BCr","PPVRbk","RUbk","OVLbk","BCbk","viab_rate","mean.log.r","sd.log.r","mean.log.k","sd.log.k"
"seabob_S_Silva_Base_NN_Myers","seabob","S","Base","Silva","NN","Myers",0.15,0.30015424989167,0.55,0.12,0.174547738884378,0.26,42,112.160092773574,242,95.33,134.758121176951,182.28,0.22,0.318587973997081,0.42,0.23,0.317467854023424,0.42,5.86,7.32797918575312,8.79,4.52,5.91,7.15,0.06,0.1,0.13,47.66,61.55,91.14,4.29,4.34,0.71,1.16,2.02,0.46,0.63,0.84,0.431,0.343,0.337,0.619,0.88,0.062,0.956,0.998,0.012,-1.24747849282075,0.324820746032565,4.61520319992093,0.437526099317153
"seabob_S_Silva_Base_NN_Euler","seabob","S","Base","Silva","NN","Euler",0.72,0.901582193343223,1.12,0.63,0.73701180907595,0.89,17,34.3585955410168,61,33.1,40.3562773491706,47.48,0.22,0.318891546248983,0.42,0.24,0.348624690322294,0.45,5.86,7.32797918575312,8.79,6.74,7.31,7.99,0.31,0.39,0.44,16.55,18.93,23.74,4.29,4.34,0.54,0.81,1.33,0.49,0.7,0.9,0.815,0.097,0.356,0.622,0.983,0.009,0.764,0.96,0,-0.107587690832516,0.11045818806976,3.48108557932483,0.314762757499017
"seabob_S_Silva_Base_NN_Demographic inv","seabob","S","Base","Silva","NN","Demographic inv",0.39,0.563891629906533,0.79,0.33,0.41126969115718,0.53,27,55.8502430178545,104,53.78,67.4044644066448,82.71,0.22,0.320071282033938,0.42,0.24,0.338996861283852,0.44,5.86,7.32797918575312,8.79,6,6.91,7.77,0.16,0.22,0.26,26.89,31.48,41.35,4.29,4.34,0.59,0.9,1.46,0.48,0.68,0.88,0.58,0.239,0.312,0.599,0.9,0.051,0.847,0.982,0.002,-0.588665436689757,0.176471551584344,3.96700980284578,0.336422091510848
"seabob_S_Silva_Base_BRT_Smith rebound","seabob","S","Base","Silva","BRT","Smith rebound",0.26,0.425489978209257,0.66,0.21,0.278956719833584,0.38,33,76.3347447733488,152,70.55,92.5134591106047,114.85,0.22,0.320071181794679,0.42,0.23,0.331476483564417,0.43,5.86,7.32797918575312,8.79,5.36,6.48,7.44,0.1,0.15,0.19,35.27,42.41,57.42,4.29,4.34,0.64,1,1.68,0.47,0.66,0.87,0.535,0.269,0.308,0.581,0.957,0.022,0.906,0.993,0.004,-0.881294545964137,0.232889551001236,4.26410913657924,0.380560482541252
"seabob_S_Silva_Base_BRT_Myers","seabob","S","Base","Silva","BRT","Myers",0.15,0.303189275550879,0.55,0.12,0.175461356986273,0.25,43,110.379450204497,242,98.24,134.248138195518,176.56,0.22,0.320099167755125,0.42,0.23,0.316913455477875,0.41,5.86,7.32797918575312,8.79,4.69,5.94,7.15,0.06,0.1,0.13,49.12,61.87,88.28,4.29,4.34,0.72,1.16,2.01,0.45,0.63,0.83,0.38,0.384,0.313,0.588,0.843,0.082,0.953,0.997,0.015,-1.24747849282075,0.324820746032565,4.61869073125477,0.434560567766248
"seabob_S_Silva_Base_BRT_Euler","seabob","S","Base","Silva","BRT","Euler",0.72,0.901191455476634,1.12,0.63,0.742391225397209,0.91,17,34.1830136180259,60,32.98,40.6917801419447,47.82,0.22,0.320564358412365,0.42,0.24,0.344672695646497,0.44,5.86,7.32797918575312,8.79,6.76,7.49,8.28,0.32,0.4,0.46,16.49,18.95,23.91,4.29,4.34,0.54,0.81,1.34,0.48,0.69,0.89,0.785,0.114,0.349,0.659,1.002,-0.001,0.799,0.972,0,-0.107587690832516,0.11045818806976,3.47741294534697,0.312087196385604
"seabob_S_Silva_Base_BRT_Demographic inv","seabob","S","Base","Silva","BRT","Demographic inv",0.39,0.563524660754577,0.79,0.33,0.407506567790856,0.52,27,56.5952638904979,106,53.44,67.4483343098262,81.42,0.22,0.320073611637969,0.42,0.25,0.338847868396089,0.43,5.86,7.32797918575312,8.79,6.01,6.87,7.7,0.16,0.22,0.26,26.72,31.21,40.71,4.29,4.34,0.6,0.9,1.44,0.49,0.68,0.87,0.538,0.267,0.297,0.584,0.836,0.086,0.844,0.979,0.001,-0.588665436689757,0.176471551584344,3.97280546366111,0.3458730155333
"seabob_S_Freire_Base_NN_Smith rebound","seabob","S","Base","Freire","NN","Smith rebound",0.26,0.42612453910258,0.66,0.21,0.274404004781191,0.37,50,113.666789508695,224,103.09,133.389177008649,165.35,0.22,0.32052510759806,0.42,0.22,0.321693307245523,0.43,8.68,10.85289491157,13.02,7.67,9.24,10.5,0.1,0.15,0.19,51.55,61.54,82.68,2.95,2.61,0.31,0.5,0.88,0.44,0.64,0.87,0.492,0.299,0.287,0.555,1.143,-0.069,0.961,0.998,0,-0.881294545964137,0.232889551001236,4.66018831978731,0.375685166368536
"seabob_S_Freire_Base_NN_Myers","seabob","S","Base","Freire","NN","Myers",0.15,0.301764809182162,0.55,0.12,0.171251442217088,0.25,63,169.930142128775,368,142.5,198.200819652602,267.97,0.22,0.319562122093242,0.42,0.23,0.32287876732514,0.43,8.68,10.85289491157,13.02,6.68,8.58,10.39,0.06,0.09,0.12,71.25,91.43,133.99,2.95,2.61,0.32,0.54,0.95,0.45,0.64,0.86,0.376,0.387,0.287,0.57,1.037,-0.018,0.968,0.999,0.003,-1.24747849282075,0.324820746032565,5.02615829722618,0.441143415765117
"seabob_S_Freire_Base_NN_Euler","seabob","S","Base","Freire","NN","Euler",0.72,0.906316082182052,1.12,0.63,0.732858312374554,0.86,26,50.3637314541132,90,49.78,60.1090089209375,70.34,0.22,0.318437908415298,0.42,0.21,0.319199201488702,0.43,8.68,10.85289491157,13.02,9.91,10.95,12.47,0.31,0.39,0.43,24.89,28.34,35.17,2.95,2.61,0.27,0.41,0.75,0.43,0.64,0.86,0.715,0.155,0.311,0.566,1.145,-0.07,0.958,0.998,0,-0.107587690832516,0.11045818806976,3.8817092547965,0.310612023621405
